x,y
2.00E+00,6.50E+01
3.00E+00,6.50E+01
4.00E+00,6.50E+01
5.01E+00,6.50E+01
6.01E+00,6.48E+01
7.01E+00,6.47E+01
7.99E+00,6.45E+01
8.99E+00,6.42E+01
9.99E+00,6.38E+01
1.10E+01,6.32E+01
1.20E+01,6.23E+01
1.30E+01,6.13E+01
1.40E+01,6.00E+01
1.50E+01,5.83E+01
1.60E+01,5.62E+01
1.70E+01,5.45E+01
1.80E+01,5.20E+01
1.90E+01,4.98E+01
2.00E+01,4.74E+01
2.10E+01,4.55E+01
2.20E+01,4.39E+01
2.30E+01,4.21E+01
2.40E+01,4.06E+01
2.50E+01,3.94E+01
2.60E+01,3.82E+01
2.70E+01,3.74E+01
2.80E+01,3.65E+01
2.90E+01,3.58E+01
3.00E+01,3.51E+01
3.10E+01,3.44E+01
3.20E+01,3.40E+01
3.30E+01,3.39E+01
3.40E+01,3.37E+01
3.50E+01,3.36E+01
3.60E+01,3.37E+01
3.70E+01,3.37E+01
3.80E+01,3.37E+01
3.90E+01,3.37E+01
4.00E+01,3.41E+01
4.10E+01,3.45E+01
4.20E+01,3.49E+01
4.30E+01,3.53E+01
4.40E+01,3.56E+01
4.50E+01,3.60E+01
4.60E+01,3.64E+01
4.70E+01,3.69E+01
4.80E+01,3.74E+01
4.90E+01,3.78E+01
5.00E+01,3.81E+01
5.10E+01,3.87E+01
5.20E+01,3.95E+01
5.30E+01,4.04E+01
5.40E+01,4.13E+01
5.50E+01,4.24E+01
5.60E+01,4.32E+01
5.70E+01,4.43E+01
5.80E+01,4.51E+01
5.90E+01,4.61E+01
6.00E+01,4.75E+01
6.10E+01,4.86E+01
6.20E+01,4.92E+01
6.30E+01,4.97E+01
6.40E+01,5.01E+01
6.50E+01,5.06E+01
6.60E+01,5.11E+01
6.70E+01,5.15E+01
6.80E+01,5.20E+01
6.90E+01,5.26E+01
7.00E+01,5.30E+01
7.10E+01,5.33E+01
7.20E+01,5.37E+01
7.30E+01,5.40E+01
7.40E+01,5.43E+01
7.50E+01,5.49E+01
7.60E+01,5.55E+01
7.70E+01,5.61E+01
7.80E+01,5.64E+01
7.90E+01,5.66E+01
8.00E+01,5.67E+01
8.10E+01,5.74E+01
8.20E+01,5.78E+01
8.30E+01,5.79E+01
8.40E+01,5.77E+01
8.50E+01,5.74E+01
8.60E+01,5.68E+01
8.70E+01,5.66E+01
8.80E+01,5.64E+01
8.90E+01,5.61E+01
9.00E+01,5.56E+01
9.10E+01,5.52E+01
9.20E+01,5.50E+01
9.30E+01,5.46E+01
9.40E+01,5.45E+01
9.50E+01,5.42E+01
9.60E+01,5.42E+01
9.70E+01,5.43E+01
9.80E+01,5.44E+01
9.90E+01,5.46E+01
1.00E+02,5.48E+01
1.01E+02,5.50E+01
1.02E+02,5.52E+01
1.03E+02,5.55E+01
1.04E+02,5.57E+01
1.05E+02,5.58E+01
1.06E+02,5.59E+01
