x,y
2.00E+00,3.87E+01
2.99E+00,3.64E+01
4.00E+00,3.44E+01
4.99E+00,3.32E+01
6.01E+00,3.29E+01
6.99E+00,3.29E+01
8.01E+00,3.34E+01
8.99E+00,3.38E+01
1.00E+01,3.32E+01
1.10E+01,3.21E+01
1.20E+01,3.10E+01
1.30E+01,3.05E+01
1.40E+01,2.91E+01
1.50E+01,2.70E+01
1.60E+01,2.56E+01
1.70E+01,2.40E+01
1.80E+01,2.26E+01
1.90E+01,2.10E+01
2.00E+01,1.98E+01
2.10E+01,1.87E+01
2.20E+01,1.78E+01
2.30E+01,1.76E+01
2.40E+01,1.73E+01
2.50E+01,1.67E+01
2.60E+01,1.62E+01
2.70E+01,1.66E+01
2.80E+01,1.72E+01
2.90E+01,1.77E+01
3.00E+01,1.78E+01
3.10E+01,1.80E+01
3.10E+01,1.71E+01
3.20E+01,1.71E+01
3.30E+01,1.73E+01
3.40E+01,1.80E+01
3.50E+01,1.93E+01
3.60E+01,1.98E+01
3.70E+01,1.98E+01
3.80E+01,1.93E+01
3.90E+01,2.02E+01
4.00E+01,2.15E+01
4.10E+01,2.24E+01
4.20E+01,2.28E+01
4.30E+01,2.21E+01
4.40E+01,2.10E+01
4.50E+01,2.06E+01
4.60E+01,2.11E+01
4.70E+01,2.20E+01
4.80E+01,2.25E+01
4.90E+01,2.28E+01
5.00E+01,2.26E+01
5.10E+01,2.26E+01
5.20E+01,2.27E+01
5.30E+01,2.33E+01
5.40E+01,2.42E+01
5.50E+01,2.54E+01
5.60E+01,2.58E+01
5.70E+01,2.49E+01
5.80E+01,2.38E+01
5.90E+01,2.38E+01
6.00E+01,2.49E+01
6.10E+01,2.61E+01
6.20E+01,2.63E+01
6.30E+01,2.64E+01
6.40E+01,2.59E+01
6.50E+01,2.52E+01
6.60E+01,2.49E+01
6.70E+01,2.57E+01
6.80E+01,2.66E+01
6.90E+01,2.73E+01
7.00E+01,2.69E+01
7.10E+01,2.63E+01
7.20E+01,2.67E+01
7.30E+01,2.68E+01
7.40E+01,2.66E+01
7.50E+01,2.69E+01
7.60E+01,2.75E+01
7.70E+01,2.80E+01
7.80E+01,2.88E+01
7.90E+01,2.94E+01
8.00E+01,2.94E+01
8.10E+01,2.90E+01
8.20E+01,2.88E+01
8.30E+01,2.89E+01
8.40E+01,2.90E+01
8.50E+01,2.97E+01
8.60E+01,2.96E+01
8.70E+01,2.88E+01
8.80E+01,2.84E+01
8.90E+01,2.83E+01
9.00E+01,2.84E+01
9.10E+01,2.86E+01
9.20E+01,2.93E+01
9.30E+01,3.09E+01
9.40E+01,3.16E+01
9.50E+01,3.09E+01
9.60E+01,3.02E+01
9.70E+01,3.11E+01
9.80E+01,3.14E+01
9.90E+01,3.09E+01
1.00E+02,3.03E+01
1.01E+02,3.01E+01
1.02E+02,2.99E+01
1.03E+02,2.98E+01
1.04E+02,2.93E+01
1.05E+02,2.97E+01
1.06E+02,3.09E+01
1.07E+02,3.15E+01
1.08E+02,3.19E+01
1.09E+02,3.21E+01
