x,y
2.00E+00,-1.38E-01
3.00E+00,1.44E-02
4.00E+00,1.13E-01
5.00E+00,1.59E-01
6.00E+00,1.96E-01
7.00E+00,1.80E-01
8.00E+00,1.18E-01
9.00E+00,3.88E-02
1.00E+01,1.70E-02
1.10E+01,9.72E-02
1.20E+01,9.41E-02
1.30E+01,4.22E-02
1.40E+01,-2.12E-02
1.50E+01,6.18E-02
1.60E+01,1.65E-01
1.70E+01,2.13E-01
1.80E+01,2.84E-01
1.90E+01,4.18E-01
2.00E+01,4.67E-01
2.10E+01,4.94E-01
2.20E+01,5.35E-01
2.30E+01,4.42E-01
2.40E+01,2.82E-01
2.50E+01,1.53E-01
2.60E+01,1.61E-02
2.70E+01,-1.16E-01
2.80E+01,-1.64E-01
2.90E+01,-1.87E-01
3.00E+01,-2.03E-01
3.10E+01,-1.99E-01
3.20E+01,-2.03E-01
3.30E+01,-2.09E-01
3.40E+01,-2.13E-01
3.50E+01,-1.98E-01
3.60E+01,-1.79E-01
3.70E+01,-1.62E-01
3.80E+01,-1.85E-01
3.90E+01,-1.89E-01
4.00E+01,-1.91E-01
4.10E+01,-2.04E-01
4.20E+01,-2.03E-01
4.30E+01,-2.02E-01
4.40E+01,-2.05E-01
4.50E+01,-2.02E-01
4.60E+01,-1.51E-01
4.70E+01,-1.39E-01
4.80E+01,-1.51E-01
4.90E+01,-1.41E-01
5.00E+01,-1.23E-01
5.10E+01,-1.22E-01
5.20E+01,-9.62E-02
5.30E+01,-8.35E-02
5.40E+01,-7.94E-02
5.50E+01,-8.97E-02
5.60E+01,-6.41E-02
5.70E+01,-3.85E-02
5.80E+01,-1.00E-02
5.90E+01,-2.22E-04
6.00E+01,8.15E-03
6.10E+01,6.48E-03
6.20E+01,1.94E-03
6.30E+01,-1.16E-03
6.40E+01,-2.83E-03
6.50E+01,-3.07E-03
6.60E+01,-3.30E-03
6.70E+01,-1.79E-02
6.80E+01,-9.51E-03
6.90E+01,-1.12E-02
7.00E+01,-9.98E-03
7.10E+01,-4.48E-03
7.20E+01,-4.71E-03
7.30E+01,-1.07E-02
7.40E+01,-5.18E-03
7.50E+01,-6.85E-03
7.60E+01,7.27E-03
7.70E+01,3.72E-02
7.80E+01,6.28E-02
7.90E+01,6.40E-02
8.00E+01,5.23E-02
8.10E+01,2.76E-02
8.20E+01,1.88E-02
8.30E+01,2.14E-02
8.40E+01,2.40E-02
8.50E+01,-1.21E-02
8.60E+01,-5.68E-02
8.70E+01,-8.43E-02
8.80E+01,-9.03E-02
8.90E+01,-9.05E-02
9.00E+01,-7.50E-02
9.10E+01,-6.95E-02
9.20E+01,-6.11E-02
9.30E+01,-5.13E-02
9.40E+01,-5.29E-02
9.50E+01,-5.17E-02
9.60E+01,-5.34E-02
9.70E+01,-4.93E-02
9.80E+01,-4.10E-02
9.90E+01,-3.98E-02
1.00E+02,-1.56E-02
1.01E+02,-7.21E-03
1.02E+02,-4.58E-03
1.03E+02,3.80E-03
1.04E+02,6.43E-03
1.05E+02,9.07E-03
1.06E+02,1.03E-02
1.07E+02,1.43E-02
1.08E+02,1.12E-02
1.09E+02,1.10E-02
