x,y
2.00E+00,-6.56E-01
2.99E+00,-1.03E+00
4.00E+00,-1.69E+00
4.99E+00,-2.39E+00
6.01E+00,-2.91E+00
6.99E+00,-3.37E+00
8.01E+00,-3.31E+00
8.99E+00,-3.50E+00
1.00E+01,-4.21E+00
1.10E+01,-4.88E+00
1.20E+01,-4.92E+00
1.30E+01,-4.72E+00
1.40E+01,-4.47E+00
1.50E+01,-4.37E+00
1.60E+01,-4.52E+00
1.70E+01,-4.82E+00
1.80E+01,-5.05E+00
1.90E+01,-4.73E+00
2.00E+01,-4.28E+00
2.10E+01,-3.79E+00
2.20E+01,-3.32E+00
2.30E+01,-2.79E+00
2.40E+01,-2.27E+00
2.50E+01,-1.51E+00
2.60E+01,-6.72E-01
2.70E+01,-1.92E-01
2.80E+01,2.20E-01
2.90E+01,5.66E-01
3.00E+01,1.03E+00
3.10E+01,1.39E+00
3.20E+01,1.48E+00
3.30E+01,1.25E+00
3.40E+01,1.37E+00
3.50E+01,1.72E+00
3.60E+01,1.88E+00
3.70E+01,1.67E+00
3.80E+01,1.64E+00
3.90E+01,1.49E+00
4.00E+01,1.46E+00
4.10E+01,1.35E+00
4.20E+01,1.19E+00
4.30E+01,1.00E+00
4.40E+01,5.89E-01
4.50E+01,3.15E-01
4.60E+01,1.87E-01
4.70E+01,3.54E-01
4.80E+01,4.04E-01
4.90E+01,2.37E-01
5.00E+01,-5.86E-02
5.10E+01,-2.87E-01
5.20E+01,-3.49E-01
5.30E+01,-8.65E-02
5.40E+01,2.15E-01
5.50E+01,2.32E-01
5.60E+01,3.10E-01
5.70E+01,3.21E-01
5.80E+01,1.98E-01
5.90E+01,-5.30E-02
6.00E+01,-4.60E-01
6.10E+01,-8.06E-01
6.20E+01,-1.11E+00
6.30E+01,-1.35E+00
6.40E+01,-1.33E+00
6.50E+01,-1.05E+00
6.60E+01,-1.07E+00
6.70E+01,-1.34E+00
6.80E+01,-1.65E+00
6.90E+01,-1.82E+00
7.00E+01,-1.79E+00
7.10E+01,-1.76E+00
7.20E+01,-1.63E+00
7.30E+01,-1.59E+00
7.40E+01,-1.64E+00
7.50E+01,-1.81E+00
7.60E+01,-2.11E+00
7.70E+01,-2.35E+00
7.80E+01,-2.30E+00
7.90E+01,-2.10E+00
8.00E+01,-1.98E+00
8.10E+01,-2.34E+00
8.20E+01,-2.72E+00
8.30E+01,-2.86E+00
8.40E+01,-2.78E+00
8.50E+01,-2.37E+00
8.60E+01,-1.78E+00
8.70E+01,-1.38E+00
8.80E+01,-1.06E+00
8.90E+01,-1.06E+00
9.00E+01,-8.84E-01
9.10E+01,-6.78E-01
9.20E+01,-3.82E-01
9.30E+01,-7.53E-02
9.40E+01,4.10E-01
9.50E+01,7.67E-01
9.60E+01,1.06E+00
9.70E+01,1.00E+00
9.80E+01,8.34E-01
9.90E+01,4.32E-01
1.00E+02,1.98E-01
1.01E+02,5.16E-01
1.02E+02,8.51E-01
1.03E+02,1.17E+00
1.04E+02,1.36E+00
1.05E+02,1.40E+00
1.06E+02,1.19E+00
1.07E+02,1.50E+00
1.08E+02,2.12E+00
1.09E+02,2.53E+00
