x,y
1.80E+00,8.02E-01
2.08E+00,5.82E-01
2.49E+00,3.23E-01
2.98E+00,-1.29E-02
3.53E+00,-3.62E-01
4.23E+00,-7.24E-01
4.92E+00,-1.09E+00
5.33E+00,-1.32E+00
5.89E+00,-1.45E+00
6.72E+00,-1.53E+00
7.27E+00,-1.40E+00
7.62E+00,-1.19E+00
7.83E+00,-1.01E+00
7.97E+00,-8.28E-01
8.17E+00,-6.72E-01
8.31E+00,-4.53E-01
8.38E+00,-2.46E-01
8.52E+00,-7.76E-02
8.66E+00,7.76E-02
8.80E+00,2.59E-01
8.94E+00,4.66E-01
9.70E+00,4.14E-01
9.91E+00,5.17E-01
1.00E+01,6.98E-01
1.05E+01,8.53E-01
1.08E+01,7.24E-01
1.09E+01,5.82E-01
1.12E+01,3.62E-01
1.14E+01,1.81E-01
1.15E+01,-3.88E-02
1.17E+01,-2.59E-01
1.18E+01,-4.40E-01
1.20E+01,-5.56E-01
1.27E+01,-5.17E-01
1.34E+01,-4.78E-01
1.36E+01,-6.47E-01
1.41E+01,-8.15E-01
1.44E+01,-9.96E-01
1.48E+01,-1.14E+00
1.52E+01,-1.29E+00
1.57E+01,-1.37E+00
1.66E+01,-1.44E+00
1.70E+01,-1.58E+00
1.72E+01,-1.71E+00
1.78E+01,-1.78E+00
1.85E+01,-1.78E+00
1.88E+01,-1.94E+00
1.88E+01,-2.09E+00
1.90E+01,-2.31E+00
1.92E+01,-2.50E+00
1.95E+01,-2.66E+00
1.97E+01,-2.84E+00
2.00E+01,-2.99E+00
2.07E+01,-3.08E+00
2.14E+01,-3.09E+00
2.22E+01,-3.05E+00
2.26E+01,-2.92E+00
2.30E+01,-2.81E+00
2.33E+01,-2.69E+00
2.40E+01,-2.60E+00
2.47E+01,-2.68E+00
2.51E+01,-2.81E+00
2.56E+01,-2.91E+00
2.63E+01,-2.90E+00
2.66E+01,-2.75E+00
2.72E+01,-2.61E+00
2.76E+01,-2.48E+00
2.78E+01,-2.38E+00
2.83E+01,-2.28E+00
2.90E+01,-2.29E+00
2.93E+01,-2.16E+00
2.96E+01,-2.00E+00
3.00E+01,-1.85E+00
3.03E+01,-1.69E+00
3.10E+01,-1.63E+00
3.17E+01,-1.60E+00
3.23E+01,-1.60E+00
3.28E+01,-1.49E+00
3.32E+01,-1.34E+00
3.34E+01,-1.22E+00
3.36E+01,-1.07E+00
3.40E+01,-9.05E-01
3.45E+01,-7.11E-01
3.48E+01,-5.17E-01
3.52E+01,-3.62E-01
3.54E+01,-2.33E-01
3.59E+01,-1.29E-01
3.64E+01,0.00E+00
3.70E+01,1.03E-01
3.73E+01,-3.88E-02
3.75E+01,-1.68E-01
3.79E+01,-2.84E-01
3.85E+01,-2.07E-01
3.87E+01,-5.17E-02
3.89E+01,9.05E-02
3.91E+01,2.20E-01
3.96E+01,3.36E-01
4.01E+01,4.66E-01
4.05E+01,6.59E-01
4.09E+01,8.41E-01
4.12E+01,9.96E-01
4.18E+01,1.19E+00
4.28E+01,1.01E+00
4.32E+01,8.41E-01
4.38E+01,6.34E-01
4.41E+01,4.53E-01
4.47E+01,3.10E-01
4.51E+01,1.81E-01
4.56E+01,6.47E-02
4.63E+01,1.81E-01
4.68E+01,2.97E-01
4.78E+01,3.88E-01
4.90E+01,3.62E-01
4.97E+01,2.07E-01
5.02E+01,9.05E-02
5.08E+01,-3.88E-02
