x,y
2.01E+00,2.96E+00
3.00E+00,2.13E+00
4.00E+00,1.43E+00
6.00E+00,1.43E+00
8.00E+00,1.09E+00
9.00E+00,3.88E-01
1.00E+01,1.81E-01
1.10E+01,6.48E-01
1.20E+01,1.27E+00
1.30E+01,1.60E+00
1.40E+01,1.54E+00
1.50E+01,1.03E+00
1.60E+01,4.91E-01
1.70E+01,2.42E-01
1.80E+01,2.25E-01
1.90E+01,1.68E-01
2.00E+01,-5.97E-02
2.10E+01,-5.19E-01
2.20E+01,-9.39E-01
2.30E+01,-1.24E+00
2.40E+01,-1.30E+00
2.50E+01,-1.08E+00
2.60E+01,-8.46E-01
2.70E+01,-4.38E-01
2.80E+01,7.19E-04
2.90E+01,5.89E-01
3.00E+01,5.99E-01
3.10E+01,9.42E-02
3.20E+01,-2.71E-01
3.30E+01,-1.95E-01
3.40E+01,8.13E-02
3.50E+01,3.40E-01
3.60E+01,4.65E-01
3.70E+01,3.19E-01
3.80E+01,2.16E-01
3.90E+01,4.65E-01
4.00E+01,8.28E-01
4.10E+01,1.18E+00
4.20E+01,1.01E+00
4.30E+01,4.97E-01
4.40E+01,1.79E-01
4.50E+01,4.71E-01
4.60E+01,8.59E-01
4.70E+01,1.25E+00
4.80E+01,1.75E+00
4.90E+01,2.17E+00
5.00E+01,2.43E+00
5.10E+01,2.58E+00
5.20E+01,2.61E+00
5.30E+01,2.43E+00
5.40E+01,2.44E+00
5.50E+01,2.66E+00
5.60E+01,2.56E+00
5.70E+01,2.21E+00
5.80E+01,1.91E+00
5.90E+01,1.76E+00
6.00E+01,1.99E+00
6.10E+01,2.23E+00
6.20E+01,2.20E+00
6.30E+01,1.93E+00
6.40E+01,1.54E+00
6.50E+01,1.19E+00
6.60E+01,9.04E-01
6.70E+01,1.07E+00
6.80E+01,1.35E+00
6.90E+01,1.40E+00
7.00E+01,1.14E+00
7.20E+01,1.38E+00
7.30E+01,1.66E+00
7.40E+01,1.55E+00
7.60E+01,1.89E+00
7.70E+01,2.18E+00
7.80E+01,2.08E+00
7.90E+01,1.86E+00
8.00E+01,1.57E+00
8.10E+01,1.09E+00
8.20E+01,6.85E-01
8.30E+01,4.37E-01
8.80E+01,-2.58E-01
9.10E+01,9.23E-01
9.20E+01,1.60E+00
9.40E+01,2.09E+00
9.50E+01,1.42E+00
9.60E+01,9.00E-01
9.90E+01,8.00E-01
1.02E+02,4.84E-01
1.03E+02,2.28E-01
1.06E+02,5.52E-01
1.07E+02,9.83E-01
1.08E+02,1.14E+00
1.09E+02,1.16E+00
4.89E+00,1.02E+00
7.04E+00,1.86E+00
7.73E+00,1.50E+00
1.38E+01,1.81E+00
5.36E+01,2.26E+00
7.11E+01,9.77E-01
7.52E+01,1.42E+00
8.40E+01,2.91E-01
8.53E+01,4.34E-01
8.64E+01,5.83E-02
8.77E+01,-5.24E-01
8.87E+01,1.10E-01
8.95E+01,4.08E-01
9.07E+01,5.11E-01
9.33E+01,2.36E+00
9.66E+01,6.15E-01
9.73E+01,7.96E-01
9.83E+01,9.77E-01
9.95E+01,6.67E-01
1.00E+02,8.61E-01
1.04E+02,1.94E-02
1.05E+02,1.23E-01
