x,y
2.00E+00,1.05E-02
3.00E+00,1.34E-01
4.00E+00,2.84E-01
5.00E+00,4.08E-01
6.00E+00,4.28E-01
7.00E+00,3.03E-01
8.00E+00,1.98E-01
9.00E+00,1.06E-01
1.00E+01,1.22E-01
1.10E+01,2.13E-01
1.20E+01,1.72E-01
1.30E+01,5.52E-02
1.40E+01,3.35E-02
1.50E+01,1.81E-01
1.60E+01,3.91E-01
1.70E+01,5.87E-01
1.80E+01,7.65E-01
1.90E+01,1.03E+00
2.00E+01,1.22E+00
2.10E+01,1.27E+00
2.20E+01,1.36E+00
2.30E+01,1.17E+00
2.40E+01,8.13E-01
2.50E+01,4.17E-01
2.60E+01,1.08E-01
2.70E+01,-1.26E-01
2.80E+01,-2.62E-01
2.90E+01,-3.40E-01
3.00E+01,-3.60E-01
3.10E+01,-4.15E-01
3.20E+01,-4.44E-01
3.30E+01,-4.68E-01
3.40E+01,-5.17E-01
3.50E+01,-5.42E-01
3.60E+01,-3.91E-01
3.70E+01,-3.11E-01
3.80E+01,-3.37E-01
3.90E+01,-3.71E-01
4.00E+01,-3.90E-01
4.10E+01,-3.93E-01
4.20E+01,-3.93E-01
4.30E+01,-3.66E-01
4.40E+01,-3.45E-01
4.50E+01,-3.48E-01
4.60E+01,-3.81E-01
4.70E+01,-3.59E-01
4.80E+01,-3.22E-01
4.90E+01,-2.83E-01
5.00E+01,-2.18E-01
5.10E+01,-1.42E-01
5.20E+01,-1.30E-01
5.30E+01,-1.02E-01
5.40E+01,-6.30E-02
5.50E+01,-2.58E-02
5.60E+01,-1.73E-02
5.70E+01,-4.54E-03
5.80E+01,6.42E-02
5.90E+01,9.14E-02
6.00E+01,6.40E-02
6.10E+01,1.80E-02
6.20E+01,1.93E-02
6.30E+01,2.20E-02
6.40E+01,2.19E-02
6.50E+01,7.49E-02
6.60E+01,1.01E-01
6.70E+01,7.75E-02
6.80E+01,2.43E-02
6.90E+01,-1.17E-02
7.00E+01,3.70E-02
7.10E+01,5.84E-02
7.20E+01,1.38E-02
7.30E+01,-4.98E-03
7.40E+01,2.50E-02
7.50E+01,8.95E-02
7.60E+01,1.17E-01
7.70E+01,1.38E-01
7.80E+01,1.41E-01
7.90E+01,1.39E-01
8.00E+01,1.39E-01
8.10E+01,1.61E-01
8.20E+01,1.83E-01
8.30E+01,2.09E-01
8.40E+01,2.42E-01
8.50E+01,2.46E-01
8.60E+01,7.24E-02
8.70E+01,-6.63E-03
8.80E+01,4.74E-03
8.90E+01,-3.99E-02
9.00E+01,-1.09E-01
9.10E+01,-1.26E-01
9.20E+01,-1.22E-01
9.30E+01,-1.25E-01
9.40E+01,-1.28E-01
9.50E+01,-1.38E-01
9.60E+01,-1.43E-01
9.70E+01,-1.46E-01
9.80E+01,-1.43E-01
9.90E+01,-9.70E-02
1.00E+02,-6.84E-02
1.01E+02,-5.28E-02
1.02E+02,-5.00E-02
1.03E+02,-4.01E-02
1.04E+02,-2.58E-02
1.05E+02,-2.31E-02
1.06E+02,-2.90E-02
1.07E+02,-5.06E-02
1.08E+02,-6.51E-02
1.09E+02,-9.68E-02
