x,y
1.62E+00,1.69E+00
1.83E+00,1.39E+00
2.11E+00,1.04E+00
2.52E+00,7.05E-01
2.94E+00,2.52E-01
3.50E+00,-3.18E-01
4.19E+00,-9.00E-01
4.82E+00,-1.42E+00
5.58E+00,-1.77E+00
6.35E+00,-2.07E+00
7.31E+00,-1.87E+00
7.66E+00,-1.57E+00
8.00E+00,-1.26E+00
8.07E+00,-9.27E-01
8.34E+00,-4.99E-01
8.48E+00,-1.76E-01
8.62E+00,2.00E-01
8.75E+00,5.10E-01
8.89E+00,7.82E-01
8.82E+00,1.09E+00
9.65E+00,1.08E+00
1.01E+01,1.25E+00
1.05E+01,1.44E+00
1.08E+01,1.66E+00
1.09E+01,1.25E+00
1.11E+01,9.63E-01
1.12E+01,6.39E-01
1.15E+01,3.03E-01
1.16E+01,-1.11E-01
1.18E+01,-3.96E-01
1.19E+01,-6.94E-01
1.19E+01,-9.27E-01
1.28E+01,-7.59E-01
1.35E+01,-8.75E-01
1.39E+01,-1.12E+00
1.44E+01,-1.47E+00
1.50E+01,-1.89E+00
1.56E+01,-2.11E+00
1.67E+01,-2.27E+00
1.71E+01,-2.64E+00
1.74E+01,-2.92E+00
1.85E+01,-2.96E+00
1.87E+01,-3.30E+00
1.91E+01,-3.58E+00
1.94E+01,-3.88E+00
1.96E+01,-4.22E+00
2.00E+01,-4.62E+00
2.07E+01,-4.92E+00
2.17E+01,-5.06E+00
2.27E+01,-4.88E+00
2.30E+01,-4.67E+00
2.34E+01,-4.40E+00
2.41E+01,-4.09E+00
2.48E+01,-4.35E+00
2.53E+01,-4.53E+00
2.60E+01,-4.73E+00
2.67E+01,-4.49E+00
2.69E+01,-4.15E+00
2.70E+01,-3.89E+00
2.81E+01,-3.75E+00
2.91E+01,-3.62E+00
2.96E+01,-3.36E+00
2.98E+01,-3.04E+00
3.04E+01,-2.78E+00
3.06E+01,-2.51E+00
3.11E+01,-2.34E+00
3.19E+01,-2.53E+00
3.25E+01,-2.38E+00
3.31E+01,-2.16E+00
3.35E+01,-1.89E+00
3.40E+01,-1.56E+00
3.44E+01,-1.23E+00
3.47E+01,-8.91E-01
3.49E+01,-5.28E-01
3.55E+01,-4.95E-02
3.62E+01,2.48E-01
3.73E+01,-6.26E-02
3.77E+01,-3.35E-01
3.84E+01,-1.79E-01
3.89E+01,1.70E-01
3.93E+01,4.29E-01
3.95E+01,7.53E-01
4.00E+01,1.10E+00
4.07E+01,1.43E+00
4.14E+01,1.70E+00
4.19E+01,2.01E+00
4.26E+01,1.75E+00
4.32E+01,1.37E+00
4.38E+01,9.46E-01
4.45E+01,5.58E-01
4.54E+01,3.12E-01
4.63E+01,4.28E-01
4.69E+01,7.13E-01
4.81E+01,8.94E-01
4.91E+01,5.70E-01
4.98E+01,2.98E-01
5.02E+01,-2.53E-02
5.12E+01,-3.23E-01
5.22E+01,-1.94E-01
5.32E+01,7.79E-02
5.47E+01,3.24E-01
5.60E+01,5.82E-01
5.65E+01,1.81E-01
5.67E+01,-1.30E-01
5.71E+01,-5.31E-01
5.76E+01,-9.06E-01
5.78E+01,-1.22E+00
5.81E+01,-1.62E+00
5.85E+01,-1.96E+00
5.89E+01,-2.29E+00
5.98E+01,-2.03E+00
6.06E+01,-1.52E+00
6.10E+01,-1.19E+00
6.19E+01,-1.05E+00
6.39E+01,-1.06E+00
6.44E+01,-1.32E+00
6.47E+01,-1.68E+00
6.51E+01,-2.01E+00
6.61E+01,-2.23E+00
6.68E+01,-1.99E+00
6.71E+01,-1.63E+00
6.74E+01,-1.30E+00
6.78E+01,-1.02E+00
6.82E+01,-6.49E-01
6.88E+01,-4.68E-01
6.97E+01,-3.38E-01
7.06E+01,-6.10E-01
7.09E+01,-8.43E-01
7.13E+01,-1.09E+00
7.20E+01,-1.26E+00
7.31E+01,-1.48E+00
7.40E+01,-1.58E+00
7.57E+01,-1.61E+00
7.67E+01,-1.70E+00
7.72E+01,-1.44E+00
7.79E+01,-1.18E+00
7.84E+01,-8.44E-01
7.89E+01,-5.72E-01
8.01E+01,-7.02E-01
8.15E+01,-8.32E-01
8.28E+01,-6.38E-01
8.32E+01,-5.08E-01
8.41E+01,-2.62E-01
8.44E+01,7.42E-02
8.50E+01,4.24E-01
8.53E+01,7.86E-01
8.55E+01,1.08E+00
8.62E+01,9.54E-01
8.71E+01,6.82E-01
8.84E+01,2.68E-01
8.96E+01,-6.88E-02
9.06E+01,9.94E-02
9.18E+01,1.77E-01
9.27E+01,5.00E-01
9.31E+01,9.41E-01
9.33E+01,1.34E+00
9.40E+01,1.82E+00
9.44E+01,2.23E+00
9.54E+01,1.67E+00
9.62E+01,1.82E+00
9.66E+01,2.08E+00
9.71E+01,2.45E+00
9.83E+01,2.65E+00
9.92E+01,2.08E+00
9.96E+01,1.78E+00
1.00E+02,1.43E+00
1.02E+02,1.22E+00
1.03E+02,8.75E-01
1.04E+02,4.34E-01
1.04E+02,2.66E-01
1.05E+02,6.41E-01
1.06E+02,1.07E+00
1.06E+02,1.33E+00
1.08E+02,1.37E+00
1.09E+02,1.61E+00
